,area_type,total_sqft,bath,balcony,price,bhk
175,Plot  Area,1500.0,3.0,2.0,100.0,3.0
177,Plot  Area,400.0,1.0,0.0,14.0,1.0
178,Super built-up  Area,705.0,1.0,2.0,67.0,1.0
179,Built-up  Area,770.0,1.0,1.0,36.0,2.0
180,Super built-up  Area,1242.0,2.0,3.0,51.0,2.0
181,Super built-up  Area,1700.0,3.0,2.0,155.0,3.0
182,Super built-up  Area,2144.0,3.0,2.0,145.0,3.0
183,Super built-up  Area,1704.0,3.0,2.0,110.0,3.0
184,Super built-up  Area,1070.0,2.0,1.0,52.0,2.0
186,Super built-up  Area,1340.0,2.0,2.0,55.7,2.0
187,Built-up  Area,1025.0,2.0,1.0,46.0,2.0
188,Super built-up  Area,1277.5,2.0,0.0,56.8,2.0
189,Super built-up  Area,1200.0,2.0,2.0,52.0,2.0
190,Built-up  Area,2250.0,4.0,1.0,110.0,4.0
191,Super built-up  Area,1550.0,2.0,3.0,80.0,3.0
194,Super built-up  Area,1200.0,2.0,2.0,60.0,2.0
195,Super built-up  Area,1327.0,2.0,2.0,98.0,2.0
196,Super built-up  Area,1186.0,2.0,2.0,58.0,2.0
197,Built-up  Area,1783.0,3.0,1.0,115.0,3.0
198,Super built-up  Area,1400.0,3.0,2.0,56.0,3.0
199,Super built-up  Area,980.0,2.0,1.0,48.0,2.0
200,Super built-up  Area,1285.0,2.0,2.0,82.0,2.0
201,Super built-up  Area,912.0,2.0,1.0,70.0,3.0
202,Built-up  Area,1225.0,2.0,2.0,47.6,2.0
203,Super built-up  Area,1075.0,2.0,1.0,53.0,2.0
204,Built-up  Area,1260.0,2.0,2.0,54.0,3.0
205,Super built-up  Area,1282.0,2.0,2.0,48.7,3.0
206,Super built-up  Area,1909.0,3.0,2.0,88.0,3.0
207,Super built-up  Area,1359.0,2.0,1.0,87.0,2.0
208,Built-up  Area,1207.0,2.0,2.0,43.5,2.0
211,Super built-up  Area,1595.0,3.0,2.0,65.0,3.0
212,Built-up  Area,1798.0,3.0,2.0,89.0,3.0
213,Super built-up  Area,1475.0,3.0,2.0,78.29,3.0
214,Super built-up  Area,1580.0,3.0,3.0,100.0,3.0
215,Super built-up  Area,1295.0,2.0,1.0,65.0,2.0
217,Super built-up  Area,589.0,1.0,1.0,27.0,1.0
218,Super built-up  Area,1415.0,3.0,3.0,78.0,3.0
219,Super built-up  Area,1787.0,3.0,2.0,98.29,3.0
220,Super built-up  Area,1787.0,3.0,2.0,125.0,3.0
221,Super built-up  Area,1475.0,2.0,3.0,90.0,3.0
222,Built-up  Area,2000.0,4.0,1.0,75.5,4.0
223,Super built-up  Area,984.0,2.0,1.0,44.28,2.0
226,Built-up  Area,1080.0,2.0,2.0,72.0,2.0
227,Plot  Area,1500.0,2.0,1.0,115.0,2.0
228,Super built-up  Area,1900.0,3.0,2.0,119.0,3.0
229,Super built-up  Area,805.0,2.0,1.0,22.14,2.0
230,Super built-up  Area,1153.0,2.0,2.0,56.4,2.0
231,Super built-up  Area,1148.0,2.0,2.0,60.0,2.0
232,Super built-up  Area,1110.0,2.0,2.0,55.0,2.0
233,Built-up  Area,1100.0,2.0,2.0,42.0,2.0
234,Super built-up  Area,1290.0,2.0,2.0,110.0,2.0
235,Super built-up  Area,1500.0,2.0,1.0,65.0,3.0
236,Super built-up  Area,1080.0,2.0,2.0,39.0,2.0
237,Super built-up  Area,1933.0,3.0,1.0,129.0,3.0
239,Built-up  Area,1060.0,2.0,2.0,60.0,2.0
240,Super built-up  Area,645.0,1.0,1.0,16.45,1.0
243,Super built-up  Area,1644.0,3.0,3.0,84.0,3.0
244,Super built-up  Area,1285.0,2.0,3.0,72.5,2.0
245,Plot  Area,1200.0,3.0,1.0,90.0,3.0
246,Super built-up  Area,910.0,2.0,1.0,40.0,2.0
247,Super built-up  Area,1577.0,3.0,1.0,70.0,3.0
250,Super built-up  Area,800.0,1.0,1.0,20.0,2.0
251,Built-up  Area,1060.0,2.0,2.0,55.0,2.0
252,Super built-up  Area,1270.0,2.0,2.0,93.0,2.0
253,Super built-up  Area,900.0,2.0,2.0,22.5,2.0
254,Built-up  Area,1280.0,2.0,1.0,69.0,2.0
255,Plot  Area,1200.0,2.0,0.0,95.0,4.0
256,Built-up  Area,1025.0,2.0,2.0,36.0,2.0
257,Super built-up  Area,1108.0,2.0,1.0,63.0,2.0
261,Super built-up  Area,1500.0,3.0,2.0,75.5,3.0
262,Super built-up  Area,1295.0,2.0,2.0,43.9,2.0
263,Super built-up  Area,1162.0,2.0,1.0,59.9,2.0
264,Super built-up  Area,1035.0,2.0,2.0,49.2,2.0
265,Built-up  Area,1600.0,4.0,0.0,52.8,4.0
266,Super built-up  Area,1464.0,3.0,2.0,46.0,3.0
267,Super built-up  Area,1866.0,2.0,2.0,61.58,3.0
268,Super built-up  Area,700.0,1.0,1.0,26.0,2.0
269,Super built-up  Area,1804.0,3.0,2.0,120.0,3.0
270,Super built-up  Area,913.0,2.0,1.0,32.0,2.0
271,Super built-up  Area,1868.0,3.0,2.0,131.0,3.0
272,Built-up  Area,883.0,2.0,1.0,45.0,2.0
274,Super built-up  Area,1664.0,2.0,3.0,73.95,3.0
275,Super built-up  Area,2026.0,3.0,2.0,132.0,3.0
276,Super built-up  Area,1210.0,2.0,1.0,80.9,2.0
278,Super built-up  Area,1762.0,3.0,3.0,91.45,3.0
279,Super built-up  Area,1252.0,3.0,3.0,55.0,3.0
280,Built-up  Area,861.0,2.0,1.0,34.5,2.0
281,Built-up  Area,1420.0,2.0,1.0,100.0,3.0
283,Built-up  Area,1490.0,3.0,1.0,78.8,3.0
284,Super built-up  Area,1075.0,2.0,1.0,46.0,3.0
285,Super built-up  Area,1425.0,2.0,2.0,94.0,3.0
286,Built-up  Area,1200.0,2.0,1.0,40.0,2.0
287,Super built-up  Area,1280.0,2.0,2.0,56.0,3.0
288,Super built-up  Area,1084.0,2.0,2.0,50.0,2.0
289,Super built-up  Area,1015.0,2.0,2.0,25.88,2.0
290,Super built-up  Area,1017.0,2.0,1.0,51.25,2.0
291,Super built-up  Area,1027.0,2.0,2.0,44.0,2.0
292,Super built-up  Area,1069.0,2.0,2.0,45.0,2.0
293,Super built-up  Area,1349.0,2.0,1.0,98.2,2.0
294,Super built-up  Area,1005.0,2.0,1.0,50.0,2.0
295,Super built-up  Area,1417.0,2.0,3.0,75.0,2.0
296,Plot  Area,1475.0,3.0,1.0,98.0,3.0
297,Carpet  Area,950.0,2.0,2.0,47.0,2.0
298,Super built-up  Area,2000.0,4.0,0.0,120.0,4.0
300,Super built-up  Area,1863.0,3.0,2.0,104.0,4.0
301,Super built-up  Area,1010.0,2.0,1.0,29.5,2.0
302,Super built-up  Area,1425.0,2.0,1.0,70.0,3.0
303,Super built-up  Area,1450.0,3.0,0.0,100.0,3.0
304,Super built-up  Area,1847.0,3.0,2.0,105.0,3.0
305,Super built-up  Area,1100.0,2.0,3.0,45.0,2.0
306,Super built-up  Area,525.0,1.0,1.0,26.0,1.0
307,Super built-up  Area,1665.0,3.0,2.0,95.0,3.0
308,Super built-up  Area,1664.0,4.0,3.0,65.0,4.0
309,Super built-up  Area,1850.0,3.0,3.0,150.0,3.0
310,Super built-up  Area,1438.0,2.0,3.0,100.0,2.0
311,Super built-up  Area,1560.0,3.0,3.0,115.0,3.0
312,Super built-up  Area,1350.0,2.0,1.0,55.55,2.0
313,Super built-up  Area,1550.0,3.0,3.0,67.0,3.0
314,Super built-up  Area,1140.0,2.0,2.0,46.5,2.0
316,Super built-up  Area,850.0,2.0,2.0,27.0,2.0
317,Super built-up  Area,1280.0,2.0,2.0,75.0,2.0
318,Built-up  Area,1170.0,2.0,2.0,52.0,2.0
319,Super built-up  Area,1113.0,2.0,1.0,51.0,2.0
320,Super built-up  Area,1385.0,2.0,1.0,83.09,2.0
321,Super built-up  Area,1128.0,2.0,1.0,65.0,2.0
322,Plot  Area,1200.0,2.0,2.0,128.0,2.0
326,Super built-up  Area,1464.0,3.0,2.0,56.0,3.0
327,Super built-up  Area,1200.0,2.0,2.0,55.0,2.0
329,Super built-up  Area,1150.0,2.0,1.0,55.0,3.0
330,Built-up  Area,1645.0,3.0,2.0,95.0,3.0
331,Super built-up  Area,1000.0,2.0,1.0,67.0,2.0
333,Super built-up  Area,1192.0,2.0,2.0,74.0,2.0
335,Super built-up  Area,1173.0,2.0,1.0,58.0,2.0
336,Built-up  Area,1020.0,2.0,2.0,45.0,2.0
338,Super built-up  Area,1600.0,3.0,3.0,64.0,3.0
339,Plot  Area,1200.0,2.0,0.0,79.0,2.0
340,Carpet  Area,1230.0,2.0,3.0,48.0,2.0
341,Super built-up  Area,1250.0,2.0,2.0,40.0,2.0
342,Super built-up  Area,1325.0,2.0,2.0,76.0,2.0
343,Built-up  Area,1850.0,3.0,1.0,150.0,3.0
345,Super built-up  Area,1200.0,2.0,2.0,65.0,2.0
346,Plot  Area,1350.0,2.0,0.0,140.0,3.0
347,Super built-up  Area,1260.0,3.0,1.0,49.36,3.0
348,Super built-up  Area,1800.0,3.0,0.0,150.0,3.0
350,Built-up  Area,1100.0,2.0,1.0,43.25,2.0
351,Super built-up  Area,1508.0,2.0,1.0,77.0,2.0
352,Carpet  Area,1592.0,3.0,2.0,75.0,3.0
353,Super built-up  Area,1388.0,2.0,3.0,57.0,2.0
354,Super built-up  Area,630.0,1.0,1.0,28.35,1.0
356,Super built-up  Area,1762.0,3.0,1.0,125.0,3.0
357,Super built-up  Area,950.0,2.0,2.0,50.0,2.0
359,Super built-up  Area,1116.0,2.0,1.0,50.0,2.0
360,Super built-up  Area,1308.0,2.0,2.0,89.04,2.0
361,Super built-up  Area,1200.0,3.0,0.0,90.0,3.0
363,Built-up  Area,500.0,1.0,1.0,18.5,1.0
364,Super built-up  Area,1075.0,2.0,1.0,52.0,2.0
365,Super built-up  Area,530.0,1.0,0.0,11.66,1.0
366,Built-up  Area,1205.0,2.0,3.0,66.0,2.0
367,Super built-up  Area,1075.0,2.0,2.0,60.0,2.0
368,Built-up  Area,930.0,2.0,2.0,39.0,2.0
369,Super built-up  Area,1380.0,2.0,1.0,60.0,2.0
371,Built-up  Area,1166.0,2.0,2.0,55.0,2.0
372,Super built-up  Area,1050.0,2.0,1.0,65.0,2.0
374,Super built-up  Area,1200.0,2.0,2.0,46.8,2.0
375,Super built-up  Area,1600.0,2.0,1.0,108.0,3.0
376,Super built-up  Area,1935.0,3.0,2.0,110.0,3.0
377,Super built-up  Area,451.0,1.0,0.0,29.9,1.0
378,Super built-up  Area,1800.0,3.0,2.0,95.0,3.0
379,Super built-up  Area,1400.0,3.0,0.0,77.0,3.0
380,Super built-up  Area,1801.0,3.0,2.0,115.0,3.0
382,Plot  Area,1200.0,1.0,1.0,36.0,2.0
383,Super built-up  Area,1160.0,2.0,2.0,44.0,2.0
384,Built-up  Area,1000.0,2.0,1.0,25.0,2.0
385,Super built-up  Area,950.0,2.0,1.0,40.0,2.0
386,Built-up  Area,1629.0,3.0,2.0,79.0,3.0
387,Built-up  Area,1580.0,2.0,0.0,134.0,3.0
388,Super built-up  Area,1826.0,3.0,2.0,121.0,3.0
389,Built-up  Area,1245.0,2.0,1.0,94.0,2.0
390,Super built-up  Area,1145.0,2.0,2.0,45.79,2.0
391,Super built-up  Area,825.0,2.0,1.0,33.0,2.0
392,Super built-up  Area,1693.0,3.0,3.0,108.0,3.0
393,Super built-up  Area,1113.27,2.0,2.0,53.0,2.0
394,Built-up  Area,1460.0,2.0,1.0,58.0,2.0
395,Built-up  Area,1050.0,2.0,1.0,32.0,2.0
396,Built-up  Area,1260.0,2.0,2.0,55.0,2.0
398,Built-up  Area,1656.0,2.0,1.0,120.0,2.0
399,Super built-up  Area,1208.0,3.0,1.0,45.0,3.0
400,Super built-up  Area,1910.0,3.0,2.0,161.0,3.0
402,Plot  Area,1200.0,2.0,1.0,65.0,2.0
404,Super built-up  Area,1175.0,2.0,1.0,82.0,2.0
406,Plot  Area,1200.0,2.0,0.0,125.0,4.0
409,Plot  Area,550.0,1.0,1.0,62.0,2.0
412,Super built-up  Area,750.0,2.0,1.0,38.0,2.0
414,Super built-up  Area,1550.0,3.0,3.0,64.5,3.0
415,Built-up  Area,1760.0,3.0,2.0,88.0,3.0
416,Super built-up  Area,1125.0,2.0,2.0,62.0,2.0
417,Plot  Area,1350.0,3.0,2.0,150.0,3.0
418,Plot  Area,1000.0,2.0,1.0,55.0,2.0
419,Built-up  Area,1090.0,2.0,2.0,31.48,2.0
420,Plot  Area,1200.0,2.0,0.0,60.0,2.0
421,Super built-up  Area,1991.0,4.0,2.0,103.0,3.0
422,Super built-up  Area,1060.0,2.0,1.0,26.5,2.0
423,Super built-up  Area,1105.0,2.0,1.0,75.0,2.0
424,Built-up  Area,985.0,2.0,2.0,67.0,2.0
426,Super built-up  Area,1590.0,3.0,2.0,79.0,3.0
427,Super built-up  Area,1120.0,2.0,2.0,55.0,2.0
428,Super built-up  Area,1069.0,2.0,1.0,55.0,2.0
429,Super built-up  Area,1933.0,3.0,2.0,140.0,3.0
430,Built-up  Area,1194.0,2.0,0.0,69.0,2.0
431,Super built-up  Area,1150.0,2.0,3.0,69.0,2.0
432,Super built-up  Area,1240.0,2.0,2.0,47.12,2.0
433,Super built-up  Area,1419.0,2.0,2.0,48.1,2.0
436,Super built-up  Area,1450.0,3.0,2.0,55.0,3.0
437,Super built-up  Area,1630.0,3.0,2.0,68.29,3.0
438,Super built-up  Area,708.0,1.0,1.0,40.0,2.0
439,Plot  Area,1000.0,4.0,3.0,110.0,3.0
441,Super built-up  Area,1250.0,2.0,1.0,76.0,2.0
442,Super built-up  Area,1400.0,2.0,1.0,95.0,3.0
443,Super built-up  Area,1670.0,2.0,3.0,57.0,3.0
444,Super built-up  Area,1750.0,3.0,2.0,100.0,3.0
445,Super built-up  Area,1404.0,2.0,1.0,71.0,2.0
446,Super built-up  Area,1715.0,2.0,2.0,95.0,3.0
447,Built-up  Area,630.0,1.0,1.0,34.65,1.0
448,Super built-up  Area,1752.12,3.0,2.0,135.0,3.0
449,Super built-up  Area,1650.0,3.0,2.0,78.0,3.0
450,Super built-up  Area,1295.0,2.0,1.0,55.47,2.0
452,Super built-up  Area,1346.0,2.0,1.0,74.03,2.0
454,Super built-up  Area,1150.0,2.0,2.0,55.0,2.0
456,Super built-up  Area,1190.0,2.0,2.0,30.35,3.0
457,Super built-up  Area,1620.0,3.0,2.0,98.0,3.0
458,Super built-up  Area,950.0,2.0,1.0,46.96,2.0
460,Super built-up  Area,2450.0,3.0,0.0,120.0,3.0
461,Super built-up  Area,1220.0,2.0,1.0,35.23,3.0
462,Super built-up  Area,850.0,2.0,1.0,30.0,2.0
463,Built-up  Area,1020.0,2.0,2.0,63.0,2.0
464,Built-up  Area,1100.0,2.0,2.0,50.0,2.0
465,Super built-up  Area,1150.0,2.0,2.0,126.0,2.0
466,Super built-up  Area,1760.0,2.0,2.0,130.0,3.0
467,Super built-up  Area,1800.0,3.0,3.0,110.0,3.0
468,Super built-up  Area,1070.0,2.0,1.0,54.0,2.0
470,Plot  Area,1440.0,2.0,0.0,95.0,2.0
471,Super built-up  Area,900.0,2.0,1.0,40.0,2.0
473,Super built-up  Area,1130.0,2.0,1.0,42.16,2.0
475,Super built-up  Area,1270.0,2.0,1.0,98.0,2.0
476,Built-up  Area,1200.0,2.0,1.0,62.0,2.0
478,Super built-up  Area,1200.0,2.0,1.0,74.0,2.0
479,Super built-up  Area,929.0,2.0,0.0,50.17,2.0
486,Plot  Area,2000.0,4.0,2.0,99.0,4.0
487,Super built-up  Area,1208.0,2.0,1.0,49.0,2.0
488,Super built-up  Area,1130.0,2.0,2.0,60.0,2.0
489,Super built-up  Area,1753.0,3.0,2.0,120.0,3.0
491,Plot  Area,600.0,3.0,2.0,58.0,3.0
492,Super built-up  Area,1196.0,2.0,2.0,94.42,2.0
493,Built-up  Area,1150.0,3.0,3.0,52.5,2.0
494,Super built-up  Area,1128.0,2.0,1.0,63.0,2.0
495,Super built-up  Area,1000.0,2.0,1.0,53.0,2.0
496,Super built-up  Area,1035.0,2.0,1.0,45.0,2.0
497,Built-up  Area,950.0,2.0,1.0,32.0,2.0
498,Super built-up  Area,1075.0,2.0,1.0,36.0,3.0
499,Super built-up  Area,1040.0,2.0,1.0,48.5,2.0
500,Plot  Area,720.0,2.0,1.0,45.0,2.0
501,Super built-up  Area,1511.0,3.0,1.0,95.0,3.0
502,Built-up  Area,1300.0,3.0,1.0,58.0,3.0
503,Super built-up  Area,1545.0,3.0,1.0,68.75,3.0
504,Built-up  Area,375.0,2.0,0.0,26.0,1.0
505,Super built-up  Area,1062.0,2.0,3.0,38.0,2.0
506,Super built-up  Area,1115.0,2.0,1.0,40.0,2.0
507,Super built-up  Area,1000.0,2.0,1.0,35.0,2.0
508,Super built-up  Area,883.0,2.0,1.0,45.0,2.0
509,Super built-up  Area,1195.0,2.0,1.0,70.0,2.0
511,Built-up  Area,700.0,1.0,0.0,41.0,1.0
512,Super built-up  Area,1246.0,2.0,1.0,67.0,2.0
515,Super built-up  Area,1600.0,4.0,1.0,80.0,4.0
519,Built-up  Area,1175.0,2.0,2.0,48.0,3.0
520,Built-up  Area,1595.0,3.0,2.0,115.0,3.0
521,Super built-up  Area,1353.0,2.0,2.0,110.0,2.0
522,Super built-up  Area,1599.0,3.0,2.0,125.0,3.0
523,Super built-up  Area,1150.0,2.0,1.0,70.0,2.0
525,Super built-up  Area,1155.0,2.0,2.0,42.74,2.0
526,Built-up  Area,1200.0,2.0,0.0,85.0,1.0
527,Super built-up  Area,1000.0,2.0,1.0,25.0,2.0
529,Built-up  Area,1867.0,3.0,1.0,160.0,3.0
530,Super built-up  Area,1251.0,2.0,1.0,47.0,2.0
531,Super built-up  Area,1028.0,2.0,1.0,45.5,2.0
532,Super built-up  Area,1222.0,2.0,2.0,45.0,2.0
533,Super built-up  Area,1170.0,2.0,1.0,66.0,3.0
535,Super built-up  Area,1385.0,2.0,2.0,48.48,3.0
536,Super built-up  Area,1372.0,2.0,1.0,68.0,2.0
537,Super built-up  Area,1282.0,2.0,2.0,49.0,3.0
540,Super built-up  Area,1135.0,2.0,1.0,39.73,2.0
541,Built-up  Area,1768.0,3.0,2.0,101.0,3.0
542,Built-up  Area,1325.0,2.0,1.0,90.0,3.0
543,Super built-up  Area,1599.0,3.0,2.0,99.0,3.0
544,Plot  Area,1500.0,3.0,1.0,61.95,3.0
546,Super built-up  Area,1286.0,2.0,2.0,63.0,2.0
549,Super built-up  Area,1317.5,2.0,0.0,63.77,2.0
551,Super built-up  Area,1102.0,2.0,2.0,53.67,2.0
552,Super built-up  Area,1350.0,2.0,2.0,54.0,2.0
553,Super built-up  Area,1200.0,2.0,2.0,42.0,3.0
555,Plot  Area,1800.0,1.0,1.0,80.0,2.0
556,Built-up  Area,950.0,2.0,1.0,40.0,2.0
557,Super built-up  Area,525.0,1.0,1.0,27.25,1.0
558,Built-up  Area,656.0,2.0,1.0,25.0,2.0
560,Super built-up  Area,1056.0,2.0,1.0,80.0,2.0
561,Super built-up  Area,595.0,1.0,1.0,33.32,1.0
562,Built-up  Area,1080.0,2.0,2.0,50.0,2.0
563,Super built-up  Area,2225.0,3.0,1.0,160.0,3.0
564,Super built-up  Area,1126.0,2.0,1.0,28.15,2.0
565,Super built-up  Area,1490.0,3.0,1.0,84.0,3.0
567,Super built-up  Area,1550.0,3.0,3.0,100.0,3.0
568,Super built-up  Area,1600.0,3.0,2.0,86.0,3.0
569,Built-up  Area,1160.0,2.0,1.0,55.0,2.0
571,Super built-up  Area,2100.0,3.0,2.0,125.0,3.0
